رقم الصنف,الوصف,عدد الباركودات,الباركودات
6615,اندومي ميدولز دجاج 50 جرام MIDOOLES,8,6224004184519 | 6224004184526 | 6224004184502 | 6224003277533 | 6224003277250 | 6224003277267 | 6224003277342 | 6224003277359
6618,,2,6223006710849 | 6224003277281
6621,,2,6224003277625 | 6224003277458
6622,معكرونة ميلانو سباجيتي 500 جرام Milano,2,6224008372196 | 6224008372240
6625,,3,5060670992383 | 5060670992345 | 5060670992444
6626,,2,6926845307637 | 6926845307613
6707,شعرية لورد 500 جرام Lord,1,8020340001811
6711,معكرونة موكو سيني 500 جرام -,1,8001931120982
6720,,1,9720005792182
6800,معكرونة الملكة 250 جرام شعرية El,4,6223001513186 | 6223001513148 | 6223001513209 | 6223001513179
6801,معكرونة انجلينا 200 جرام Angelina,3,8690946412726 | 8690946412665 | 8690946412764
6802,معكرونة اوبرا بريم 500 جرام -- رقم 9 Opera,3,8007290138262 | 8007290138323 | 8007290138132
6805,معكرونة باستا ديل كوع كبير 500 جرام,7,8011780909355 | 8011780909508 | 8011780909270 | 8011780909515 | 8011780909393 | 8011780909737 | 8011780909027
6808,معكرونة باستانورة كوع صغير 200 جرام,3,8690946102207 | 8690946102122 | 8690946102115
6809,معكرونة بانتي 500 جرام Banetti اسباكتي,6,8697893211075 | 8697893211228 | 8697893211204 | 8697893211174 | 8697893211112 | 8697893211211
6810,معكرونة نجم 500 جرام BAHAR,9,8690946272306 | 8690946270050 | 8690946271606 | 8690946271002 | 8690946272320 | 8690946270111 | 8690946270074 | 8690946271507 | 8690946272207
6814,معكرونة دوجا سباجيتي 400 جرام Doga,4,8690967500501 | 8690967500235 | 8690967210134 | 8690967500594
6815,معكرونة ديفيلا 500 جرام,13,8005121000740 | 8005121000290 | 8005121000405 | 8005121000504 | 8005121000238 | 8005121000375 | 8005121000733 | 8005121000276 | 8005121000535 | 8005121000092 | 8005121000481 | 8005121000474 | 8005121001372
6816,معكرونة riscoss ايطالي 500 جم زنبرك,14,8011780009550 | 8011780009505 | 8011780009277 | 8011780009406 | 8011780009352 | 8011780009512 | 8011780009758 | 8011780009390 | 8011780000939 | 8011780009413 | 8011780009741 | 8011780009345 | 8011780009734 | 8011780009703
6817,معكرونة ريجيا ايطالي 500 جرام -- 68,15,8008857300689 | 8008857300580 | 8008857300764 | 8008857200194 | 8008857300351 | 8008857300603 | 8008857300634 | 8008857300481 | 8008857300009 | 8008857300887 | 8008857300641 | 8008857300344 | 8008857200217 | 8008857300627 | 8008857200057
6819,,11,8690579924320 | 8690579924337 | 8690579924306 | 8690579924351 | 8690579924375 | 8690579924238 | 8690579924368 | 8690579924221 | 2106000210239 | 8690579924382 | 8690579924207
6820,معكرونة فوتشيني رسكوزا 500 جرام,1,8011780071816
6821,معكرونة فوتشين ريجيا 500 جرام Reggia,2,8008857406152 | 8008857406145
6823,,5,8690946160009 | 8690946270043 | 8690946250090 | 8690946250014 | 8690946150000
6825,معكرونة نودلز اسرائيلي اخضر  200 جرام,2,7290010259359 | 7290010259366
6826,معكرونة شهد 300 جرام,5,6224007678886 | 6224007678909 | 6224007678916 | 6224007678299 | 6224007678138
6827,معكرونة 500 جرام Donna chiara اسباكتي,6,8007290137012 | 8007290137180 | 8007290137074 | 8007290137289 | 8007290137067 | 8007290137333
6828,معكرونة 500 جرام FIORELLA اسباكتي,9,8690325022089 | 8690325018082 | 8690325016040 | 8690325019089 | 8690325006089 | 8690325016088 | 8690325001084 | 8690325015043 | 8690325029088
6830,معكرونة هوم 300 جرام -- HOME اسباكتي,5,6224008400295 | 6224008400325 | 6224008400332 | 6224008400301 | 6224008400318
6831,معكرونة لوري ايطالي 500 جرام - LORI,9,8020340000036 | 8020340000197 | 8020340000388 | 8020340000371 | 8020340000357 | 8080340040593 | 8020340000296 | 8020340000289 | 8020340000593
6835,معكرونة بهار 200 جرام - BAHAR حبة وسط,8,8690946230214 | 8690946270210 | 8690946230177 | 8690946230122 | 8690946230047 | 8690946230061 | 8690946230115 | 8690946230191
6839,معكرونة بيراك ايطالي 500 جرام -- اسباكتي,7,8693722235007 | 8693722000377 | 8693722015074 | 8693722000384 | 8693722002999 | 8693722000209 | 8693722002951
6842,معكرونة لذة 400 جرام دايت LAZZAH قلم,2,2009771290373 | 2009771290380
6848,معكرونة سانتا 400 جرام Santa - صدفة,3,8697480066699 | 8697480062981 | 8697480064572
6854,شعرية لمتنا  400 جرام,13,6224009197118 | 6224009197125 | 6224009197088 | 4760161882155 | 4760161882179 | 7290012642036 | 4760161881585 | 6253353300806 | 6253353300035 | 6224007402856 | 7290019894568 | 7290019894223 | 6281000247655
6855,,1,4760161882797
6856,,0,
6857,,1,7290003781881
6861,معكرونة  نجار  400 جرام  -  حلزوني,3,6253008991458 | 6253008991472 | 6253008991441
6867,معكرونه 400 جرام,7,7290019894551 | b7290019894575 | 7290019894582 | 7290019894179 | 7290019894155 | 7290019894247 | 7290019894575
6868,,1,8011780009710
6870,معكرونة ايطالي 500 جرام Maltagliail-,2,8008845052040 | 8008845052163
6871,معكرونة مري لاند 500 جرام حلزوني,2,8011780001806 | 8011780001769
6872,,0,
6873,,2,8008845073663 | 8008845073458
6874,,1,8008845071898
7101,برغل توركو خشن 1 كيلو Torku,4,8690120072395 | 8690120073125 | 8690120072456 | 8690120073194
7104,برغل خشن وسط نخلة 1 ك,1,7290003332861
7105,برغل خشن لزيزة 1 كيلو Lazeza,2,6253503961307 | 6253503961079
7109,ترمس لزيزة 1 كيلو Lazeza,1,6253503961062
